Time [s];TAP state;TDI;TDO;TDIBitCount;TDOBitCount
0.000000000000000;Run-Test/Idle;;;;
1.331095400000000;Select-DR-Scan;;;;
1.331096650000000;Select-IR-Scan;;;;
1.331098000000000;Test-Logic-Reset;;;;
1.331103300000000;Run-Test/Idle;;;;
1.331104650000000;Select-DR-Scan;;;;
1.331106450000000;Capture-DR;;;;
1.331106650000000;Shift-DR;[0xFFFFFFFF0FECC0FF], [0xFFFFFFFFFFFFFFFF], [0x1];[0x0FECC0FF020B10DD], [0xFFFFFFFFFFFFFFFF], [0x1];129;129
1.333166100000000;Exit1-DR;;;;
1.333167350000000;Update-DR;;;;
1.333168700000000;Select-DR-Scan;;;;
1.333170050000000;Select-IR-Scan;;;;
1.333171850000000;Capture-IR;;;;
1.333172050000000;Shift-IR;[0xFFFFFFFF0FECC0FF], [0xFFFFFFFFFFFFFFFF], [0x1];[0xFFFFFC3FB303FD55], [0xFFFFFFFFFFFFFFFF], [0x1];129;129
1.333669400000000;Exit1-IR;;;;
1.333670700000000;Update-IR;;;;
1.333672050000000;Select-DR-Scan;;;;
1.333673350000000;Select-IR-Scan;;;;
1.333675150000000;Capture-IR;;;;
1.333675350000000;Shift-IR;[0xFFFFFFFF0FECC0FF], [0xFFFFFFFFFFFFFFFF], [0x1];[0xFFFFFC3FB303FD55], [0xFFFFFFFFFFFFFFFF], [0x1];129;129
1.334893150000000;Exit1-IR;;;;
1.334894400000000;Update-IR;;;;
1.334895800000000;Select-DR-Scan;;;;
1.334897600000000;Capture-DR;;;;
1.334897750000000;Shift-DR;[0xFFFFFFFF0FECC0FF], [0xFFFFFFFFFFFFFFFF], [0x1];[0xFFFFFFFE1FD981FE], [0xFFFFFFFFFFFFFFFF], [0x1];129;129
1.335243700000000;Exit1-DR;;;;
1.335245000000000;Update-DR;;;;
1.335246350000000;Select-DR-Scan;;;;
1.335247650000000;Select-IR-Scan;;;;
1.335249450000000;Capture-IR;;;;
1.335249600000000;Shift-IR;0x3FF;0x155;10;10
1.335255700000000;Exit1-IR;;;;
1.335257050000000;Update-IR;;;;
1.335258350000000;Select-DR-Scan;;;;
1.335260150000000;Capture-DR;;;;
1.335260350000000;Shift-DR;0x00;0x00;7;7
1.335262400000000;Exit1-DR;;;;
1.335263750000000;Update-DR;;;;
1.335677450000000;Select-DR-Scan;;;;
1.335678700000000;Select-IR-Scan;;;;
1.335680550000000;Capture-IR;;;;
1.335680700000000;Shift-IR;0x3FFFE;0x3F955;18;18
1.335688450000000;Exit1-IR;;;;
1.335689800000000;Update-IR;;;;
